Topic,Count,Name,Representation,Representative_Docs
8,39,8_products_users_engagement_products services,"['products', 'users', 'engagement', 'products services', 'user', 'mobile', 'engaging', 'content', 'services', 'unable']","['•user behavior on any of our products changes, including decreases in the quality and frequency of content shared on our products and services; •we are unable to continue to develop products for mobile devices that users find engaging, that work with a variety of mobile operating systems and networks, and that achieve a high level of market acceptance; •there are decreases in user sentiment due to questions about the quality or usefulness of our products or our user data practices, concerns about the nature of content made available on our products, or concerns related to privacy, safety, security, well-being, or other factors; •we are unable to manage and prioritize information to ensure users are presented with content that is appropriate, interesting, useful, and relevant to them;', '•user behavior on any of our products changes, including decreases in the quality and frequency of content shared on our products and services; •we are unable to continue to develop products for mobile devices that users find engaging, that work with a variety of mobile operating systems and networks, and that achieve a high level of market acceptance; •there are decreases in user sentiment due to questions about the quality or usefulness of our products or our user data practices, concerns about the nature of content made available on our products, or concerns related to privacy, safety, security, well-being, or other factors; •we are unable to manage and prioritize information to ensure users are presented with content that is appropriate, interesting, useful, and relevant to them;', '•user behavior on any of our products changes, including decreases in the quality and frequency of content shared on our products and services; •we are unable to continue to develop products for mobile devices that users find engaging, that work with a variety of mobile operating systems and networks, and that achieve a high level of market acceptance; •there are decreases in user sentiment due to questions about the quality or usefulness of our products or our user data practices, concerns about the nature of content made available on our products, or concerns related to privacy, safety, security, well-being, or other factors; •we are unable to manage and prioritize information to ensure users are presented with content that is appropriate, interesting, useful, and relevant to them;']"
9,38,9_extent_costs_ability_costs related,"['extent', 'costs', 'ability', 'costs related', 'related', 'including', 'products', 'expense', 'reputation brand', 'centers technical']","['our ability to maintain gross margins and operating margins; • costs related to acquisitions, including costs associated with amortization and additional investments to develop the acquired technologies; • charges associated with impairment of any assets on our balance sheet; • our ability to obtain equipment, components, and labor for our data centers and other technical infrastructure in a timely and cost-effective manner; • system failures or outages or government blocking, which could prevent us from serving ads for any period of time; • breaches of security or privacy, and the costs associated with any such breaches and remediation; • changes in the manner in which we distribute our products or inaccessibility of our products due to third-party actions; •', '•the outcomes of legal proceedings and claims, which may include significant monetary damages or injunctive relief and could have a material adverse impact on our operating results; •variations in the mix of products and services we sell; •variations in our level of merchandise and vendor returns; •the extent to which we offer fast and free delivery, continue to reduce prices worldwide, and provide additional benefits to our customers; •factors affecting our reputation or brand image; •the extent to which we invest in technology and content, fulfillment, and other expense categories; 9 •increases in the prices of fuel and gasoline, as well as increases in the prices of other energy products and commodities like paper and packing supplies and hardware products;', 'the success of our geographic, service, and product line expansions; • the extent to which we finance, and the terms of any such financing for, our current operations and future growth; • the outcomes of legal proceedings and claims, which may include significant monetary damages or injunctive relief and could have a material adverse impact on our operating results; • variations in the mix of products and services we sell; • variations in our level of merchandise and vendor returns; • the extent to which we offer fast and free delivery, continue to reduce prices worldwide, and provide additional benefits to our customers; • factors affecting our reputation or brand image; • the extent to which we invest in technology and content, fulfillment, and other expense categories; •']"
10,37,10_personnel_key_key personnel_retain,"['personnel', 'key', 'key personnel', 'retain', 'employees', 'highly skilled', 'skilled', 'highly', 'attract', 'qualified']","['As we continue to grow, we cannot guarantee we will continue to attract and retain the personnel we need to maintain our competitive position. In particular, we intend to continue to hire a significant number of technical personnel in the foreseeable future, and we expect to continue to face significant challenges in hiring such personnel, particularly for engineering talent, whether as a result of competition with other companies or other factors. As we continue to mature, the incentives to attract, retain, and motivate employees provided by our equity awards or by future arrangements may not be as effective as in the past, and if we issue significant equity to attract additional employees or to retain our existing employees, we would incur substantial additional share-based compensation expense and the ownership of our existing stockholders would be further diluted. Our ability to attract, retain, and motivate employees may also be adversely affected by stock price volatility. In addition, restrictive immigration policies or legal or regulatory developments relating to immigration may negatively affect our efforts to attract and hire new personnel as well as retain our existing personnel. If we do not succeed in attracting, hiring, and integrating excellent personnel, or retaining and motivating existing personnel, we may be unable to grow effectively.', 'The Loss of Key Senior Management Personnel or the Failure to Hire and Retain Highly Skilled and Other Key Personnel Could Negatively Affect Our Business We depend on our senior management and other key personnel, particularly Jeffrey P. Bezos, our President, CEO, and Chairman. We do not have “key person” life insurance policies. We also rely on other highly skilled personnel. Competition for qualified personnel in the technology industry has historically been intense, particularly for software engineers, computer scientists, and other technical staff. The loss of any of our executive officers or other key employees or the inability to hire, train, retain, and manage qualified personnel, could harm our business. Our Supplier Relationships Subject Us to a Number of Risks', 'The Loss of Key Senior Management Personnel or the Failure to Hire and Retain Highly Skilled and Other Key Personnel Could Negatively Affect Our Business We depend on our senior management and other key personnel, particularly Jeffrey P. Bezos, our President, CEO, and Chairman. We do not have “key person” life insurance policies. We also rely on other highly skilled personnel. Competition for qualified personnel in the technology industry has historically been intense, particularly for software engineers, computer scientists, and other technical staff. The loss of any of our executive officers or other key employees or the inability to hire, train, retain, and manage qualified personnel, could harm our business. We Could Be Harmed by Data Loss or Other Security Breaches']"
11,36,11_stock_changes_market_estimates,"['stock', 'changes', 'market', 'estimates', 'changes financial', 'securities analysts', 'financial estimates', 'analysts', 'projections', 'stock market']","['We Have a Rapidly Evolving Business Model and Our Stock Price Is Highly Volatile We have a rapidly evolving business model. The trading price of our common stock fluctuates significantly in response to, among other risks, the risks described elsewhere in this Item\xa01A, as well as: •changes in interest rates; •conditions or trends in the internet and the industry segments we operate in; •quarterly variations in operating results; •fluctuations in the stock market in general and market prices for internet-related companies in particular; •changes in financial estimates by us or decisions to increase or decrease future spending or investment levels; •changes in financial estimates and recommendations by securities analysts;', 'We Have a Rapidly Evolving Business Model and Our Stock Price Is Highly Volatile We have a rapidly evolving business model. The trading price of our common stock fluctuates significantly in response to, among other risks, the risks described elsewhere in this Item\xa01A, as well as: •changes in interest rates; •conditions or trends in the Internet and the industry segments we operate in; •quarterly variations in operating results; •fluctuations in the stock market in general and market prices for Internet-related companies in particular; •changes in financial estimates by us or decisions to increase or decrease future spending or investment levels; •changes in financial estimates and recommendations by securities analysts;', 'We Have a Rapidly Evolving Business Model and Our Stock Price Is Highly Volatile We have a rapidly evolving business model. The trading price of our common stock fluctuates significantly in response to, among other risks, the risks described elsewhere in this Item\xa01A, as well as: •changes in interest rates; •conditions or trends in the Internet and the industry segments we operate in; •quarterly variations in operating results; •fluctuations in the stock market in general and market prices for Internet-related companies in particular; •changes in financial estimates by us or decisions to increase or decrease future spending or investment levels; •changes in financial estimates and recommendations by securities analysts;']"
12,34,12_metrics_family_family metrics_accounts,"['metrics', 'family', 'family metrics', 'accounts', 'user', 'user accounts', 'estimates', 'people', 'location', 'accounts products']","['To calculate our estimates of Family DAP and MAP, we currently use a series of machine learning models that are developed based on internal reviews of limited samples of user accounts and calibrated against user survey data. We apply significant judgment in designing these models and calculating these estimates. For example, to match user accounts within individual products and across multiple products, we use data signals such as similar device information, IP addresses, and user names. We also calibrate our models against data from periodic user surveys of varying sizes and frequency across our products, which are inherently subject to error. The timing and results of such user surveys have in the past contributed, and may in the future contribute, to changes in our reported Family metrics from period to period. In addition, our data limitations may affect our understanding of certain details of our business and increase the risk of error for our Family metrics estimates. Our techniques and models rely on a variety of data signals from different products, and we rely on more limited data signals for some products compared to others. For example, as a result of limited visibility into encrypted products, we have fewer data signals from WhatsApp user accounts and primarily rely on phone numbers and device information to match WhatsApp user accounts with accounts on our other products. Similarly, although Messenger Kids users are included in our Family metrics, we do not seek to match their accounts with accounts on our other applications for purposes of calculating DAP and MAP. Any loss of access to data signals we use in our process for calculating Family metrics, whether as a result of our own product decisions, actions by third-party browser or mobile platforms, regulatory or legislative requirements, limitations while our personnel work remotely during the COVID-19 pandemic, or other factors, also may impact the stability or accuracy of our reported Family metrics. Our estimates of Family metrics also may change as our methodologies evolve, including through the application of new data signals or technologies, product changes, or other improvements in our user surveys, algorithms, or machine learning that may improve our ability to match accounts within and across our products or otherwise evaluate the broad population of our users. In addition, such evolution may allow us to identify previously undetected violating accounts (as defined below).', 'To calculate our estimates of Family DAP and MAP, we currently use a series of machine learning models that are developed based on internal reviews of limited samples of user accounts and calibrated against user survey data. We apply significant judgment in designing these models and calculating these estimates. For example, to match user accounts within individual products and across multiple products, we use data signals such as similar device information, IP addresses, and user names. We also calibrate our models against data from periodic user surveys of varying sizes and frequency across our products, which are inherently subject to error. The timing and results of such user surveys have in the past contributed, and may in the future contribute, to changes in our reported Family metrics from period to period. In addition, our data limitations may affect our understanding of certain details of our business and increase the risk of error for our Family metrics estimates. Our techniques and models rely on a variety of data signals from different products, and we rely on more limited data signals for some products compared to others. For example, as a result of limited visibility into encrypted products, we have fewer data signals from WhatsApp user accounts and primarily rely on phone numbers and device information to match WhatsApp user accounts with accounts on our other products. Similarly, although Messenger Kids users are included in our Family metrics, we do not seek to match their accounts with accounts on our other applications for purposes of calculating DAP and MAP. Any loss of access to data signals we use in our process for calculating Family metrics, whether as a result of our own product decisions, actions by third-party browser or mobile platforms, regulatory or legislative requirements, limitations while our personnel work remotely during the COVID-19 pandemic, or other factors, also may impact the stability or accuracy of our reported Family metrics, as well as our ability to report these metrics at all. Our estimates of Family metrics also may change as our methodologies evolve, including through the application of new data signals or technologies, product changes, or other improvements in our user surveys, algorithms, or machine learning that may improve our ability to match accounts within and across our products or otherwise evaluate the broad population of our users. In addition, such evolution may allow us to identify previously undetected violating accounts (as defined below).', 'To calculate our estimates of Family DAP and MAP, we currently use a series of machine learning models that are developed based on internal reviews of limited samples of user accounts and calibrated against user survey data. We apply significant judgment in designing these models and calculating these estimates. For example, to match user accounts within individual products and across multiple products, we use data signals such as similar device information, IP addresses, and user names. We also calibrate our models against data from periodic user surveys of varying sizes and frequency across our products, which are inherently subject to error. The timing and results of such user surveys have in the past contributed, and may in the future contribute, to changes in our reported Family metrics from period to period. In addition, our data limitations may affect our understanding of certain details of our business and increase the risk of error for our Family metrics estimates. Our techniques and models rely on a variety of data signals from different products, and we rely on more limited data signals for some products compared to others. For example, as a result of limited visibility into encrypted products, we have fewer data signals from WhatsApp user accounts and primarily rely on phone numbers and device information to match WhatsApp user accounts with accounts on our other products. Similarly, although Messenger Kids users are included in our Family metrics, we do not seek to match their accounts with accounts on our other applications for purposes of calculating DAP and MAP. Any loss of access to data signals we use in our process for calculating Family metrics, whether as a result of our own product decisions, actions by third-party browser or mobile platforms, regulatory or legislative requirements, or other factors, also may impact the stability or accuracy of our reported Family metrics, as well as our ability to report these metrics at all. Our estimates of Family metrics also may change as our methodologies evolve, including through the application of new data signals or technologies, product changes, or other improvements in our user surveys, algorithms, or machine learning that may improve our ability to match accounts within and across our products or otherwise evaluate the broad population of our users. In addition, such evolution may allow us to identify previously undetected violating accounts (as defined below).']"
13,34,13_pandemic_covid19_covid19 pandemic_companys,"['pandemic', 'covid19', 'covid19 pandemic', 'companys', 'measures', 'impact', 'operations', 'public', 'business', 'travel']","['The Company’s operations are also subject to the risks of industrial accidents at its suppliers and contract manufacturers. While the Company’s suppliers are required to maintain safe working environments and operations, an industrial accident could occur and could result in serious injuries or loss of life, disruption to the Company’s business, and harm to the Company’s reputation. Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the global economy and demand for consumer products; the imposition of protective public safety measures, such as stringent employee travel restrictions and limitations on freight services and the movement of products between regions; and disruptions in the Company’s operations, supply chain and sales and distribution channels, resulting in interruptions to the supply of current products and offering of existing services, and delays in production ramps of new products and development of new services.', 'The Company’s operations are also subject to the risks of industrial accidents at its suppliers and contract manufacturers. While the Company’s suppliers are required to maintain safe working environments and operations, an industrial accident could occur and could result in serious injuries or loss of life, disruption to the Company’s business, and harm to the Company’s reputation. Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the global economy and demand for consumer products; the imposition of protective public safety measures, such as stringent employee travel restrictions and limitations on freight services and the movement of products between regions; and disruptions in the Company’s operations, supply chain and sales and distribution channels, resulting in interruptions to the supply of current products and offering of existing services, and delays in production ramps of new products and development of new services.', 'The Company’s operations are also subject to the risks of industrial accidents at its suppliers and contract manufacturers. While the Company’s suppliers are required to maintain safe working environments and operations, an industrial accident could occur and could result in serious injuries or loss of life, disruption to the Company’s business, and harm to the Company’s reputation. Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the global economy and demand for consumer products; the imposition of protective public safety measures, such as stringent employee travel restrictions and limitations on freight services and the movement of products between regions; and disruptions in the Company’s supply chain and sales and distribution channels, resulting in interruptions of the supply of current products and delays in production ramps of new products.']"
14,30,14_confidential information_confidential_information_unauthorized access,"['confidential information', 'confidential', 'information', 'unauthorized access', 'unauthorized', 'attacks', 'access', 'malicious attacks', 'malicious', 'company']","['The Company’s business also requires it to share confidential information with suppliers and other third parties. The Company relies on global suppliers that are also exposed to ransomware and other malicious attacks that can disrupt business operations. Although the Company takes steps to secure confidential information that is provided to or accessible by third parties working on the Company’s behalf, such measures are not always effective and losses or unauthorized access to, or releases of, confidential information occur. Such incidents and other malicious attacks could materially adversely affect the Company’s business, reputation, results of operations and financial condition.', 'The Company has implemented systems and processes intended to secure its information technology systems and prevent unauthorized access to or loss of sensitive data, and mitigate the impact of unauthorized access, including through the use of encryption and authentication technologies. As with all companies, these security measures may not be sufficient for all eventualities and may be vulnerable to hacking, ransomware attacks, employee error, malfeasance, system error, faulty password management or other irregularities. For example, third parties can fraudulently induce the Company’s or its vendors’ employees or customers into disclosing user names, passwords or other sensitive information, which can, in turn, be used for unauthorized access to the Company’s or its vendors’ systems and services. To help protect customers and the Company, the Company deploys and makes available technologies like multifactor authentication, monitors its services and systems for unusual activity and may freeze accounts under suspicious circumstances, which, among other things, can result in the delay or loss of customer orders or impede customer access to the Company’s products and services.', 'The Company has implemented systems and processes intended to secure its information technology systems and prevent unauthorized access to or loss of sensitive data, and mitigate the impact of unauthorized access, including through the use of encryption and authentication technologies. As with all companies, these security measures may not be sufficient for all eventualities and may be vulnerable to hacking, ransomware attacks, employee error, malfeasance, system error, faulty password management or other irregularities. For example, third parties can fraudulently induce the Company’s or its vendors’ employees or customers into disclosing user names, passwords or other sensitive information, which can, in turn, be used for unauthorized access to the Company’s or its vendors’ systems and services. To help protect customers and the Company, the Company deploys and makes available technologies like multifactor authentication, monitors its services and systems for unusual activity and may freeze accounts under suspicious circumstances, which, among other things, can result in the delay or loss of customer orders or impede customer access to the Company’s products and services.']"
15,29,15_receivables_nontrade receivables_nontrade_vendor nontrade,"['receivables', 'nontrade receivables', 'nontrade', 'vendor nontrade', 'carriers', 'company', 'markets', 'risk', 'cellular network', 'cellular']","['The Company distributes its products and certain of its services through third-party cellular network carriers, wholesalers, retailers and resellers. The Company also sells its products and services directly to small and mid-sized businesses and education, enterprise and government customers. A substantial majority of the Company’s outstanding trade receivables are not covered by collateral, third-party bank support or financing arrangements, or credit insurance, and a significant portion of the Company’s trade receivables can be concentrated within cellular network carriers or other resellers. The Company’s exposure to credit and collectibility risk on its trade receivables is higher in certain international markets and its ability to mitigate such risks may be limited. The Company also has unsecured vendor non-trade receivables resulting from purchases of components by outsourcing partners and other vendors that manufacture subassemblies or assemble final products for the Company. In addition, the Company has made prepayments associated with long-term supply agreements to secure supply of inventory components. As of September\xa028, 2024, the Company’s vendor non-trade receivables and prepayments related to long-term supply agreements were concentrated among a few individual vendors located primarily in Asia. While the Company has procedures to monitor and limit exposure to credit risk on its trade and vendor non-trade receivables, as well as long-term prepayments, there can be no assurance such procedures will effectively limit its credit risk and avoid losses.', 'The Company distributes its products and certain of its services through third-party cellular network carriers, wholesalers, retailers and resellers. The Company also sells its products and services directly to small and mid-sized businesses and education, enterprise and government customers. A substantial majority of the Company’s outstanding trade receivables are not covered by collateral, third-party bank support or financing arrangements, or credit insurance, and a significant portion of the Company’s trade receivables can be concentrated within cellular network carriers or other resellers. The Company’s exposure to credit and collectibility risk on its trade receivables is higher in certain international markets and its ability to mitigate such risks may be limited. The Company also has unsecured vendor non-trade receivables resulting from purchases of components by outsourcing partners and other vendors that manufacture subassemblies or assemble final products for the Company. In addition, the Company has made prepayments associated with long-term supply agreements to secure supply of inventory components. As of September\xa030, 2023, the Company’s vendor non-trade receivables and prepayments related to long-term supply agreements were concentrated among a few individual vendors located primarily in Asia. While the Company has procedures to monitor and limit exposure to credit risk on its trade and vendor non-trade receivables, as well as long-term prepayments, there can be no assurance such procedures will effectively limit its credit risk and avoid losses.', 'The Company distributes its products and certain of its services through third-party cellular network carriers, wholesalers, retailers and resellers. The Company also sells its products and services directly to small and mid-sized businesses and education, enterprise and government customers. A substantial majority of the Company’s outstanding trade receivables are not covered by collateral, third-party bank support or financing arrangements, or credit insurance, and a significant portion of the Company’s trade receivables can be concentrated within cellular network carriers or other resellers. The Company’s exposure to credit and collectibility risk on its trade receivables is higher in certain international markets and its ability to mitigate such risks may be limited. The Company also has unsecured vendor non-trade receivables resulting from purchases of components by outsourcing partners and other vendors that manufacture subassemblies or assemble final products for the Company. In addition, the Company has made prepayments associated with long-term supply agreements to secure supply of inventory components. As of September\xa024, 2022, the Company’s vendor non-trade receivables and prepayments related to long-term supply agreements were concentrated among a few individual vendors located primarily in Asia. While the Company has procedures to monitor and limit exposure to credit risk on its trade and vendor non-trade receivables, as well as long-term prepayments, there can be no assurance such procedures will effectively limit its credit risk and avoid losses.']"
16,29,16_foreign_laws_regulations_restrictions,"['foreign', 'laws', 'regulations', 'restrictions', 'lower levels', 'levels', 'corrupt', 'controls', 'protection', 'lower']","['•business licensing or certification requirements, such as for imports, exports, web services, and electronic devices; •limitations on the repatriation and investment of funds and foreign currency exchange restrictions; •limited fulfillment and technology infrastructure; •shorter payable and longer receivable cycles and the resultant negative impact on cash flow; •laws and regulations regarding privacy, data use, data protection, data security, network security, consumer protection, payments, advertising, and restrictions on pricing or discounts; •lower levels of use of the Internet; •lower levels of consumer spending and fewer opportunities for growth compared to the U.S.; •lower levels of credit card usage and increased payment risk;', '•fluctuations in currency exchange rates and compliance with currency controls; •foreign exchange controls and tax and other regulations and orders that might prevent us from repatriating cash earned in countries outside the United States or otherwise limit our ability to move cash freely, and impede our ability to invest such cash efficiently; •higher levels of credit risk and payment fraud; •enhanced difficulties of integrating any foreign acquisitions; •burdens of complying with a variety of foreign laws, including laws related to taxation, content removal, content moderation, data localization, data protection, e-commerce and payments, and regulatory oversight; •reduced protection for intellectual property rights in some countries;', 'laws and regulations regarding consumer and data protection, privacy, network security, encryption, payments, advertising, and restrictions on pricing or discounts; 7 • lower levels of use of the Internet; • lower levels of consumer spending and fewer opportunities for growth compared to the U.S.; • lower levels of credit card usage and increased payment risk; • difficulty in staffing, developing, and managing foreign operations as a result of distance, language, and cultural differences; • different employee/employer relationships and the existence of works councils and labor unions; • compliance with the U.S. Foreign Corrupt Practices Act and other applicable U.S. and foreign laws prohibiting corrupt payments to government officials and other third parties; •']"
17,28,17_infrastructure_partners_supply_projects,"['infrastructure', 'partners', 'supply', 'projects', 'logistics', 'outsourcing partners', 'manufacturing', 'outsourcing', 'technical infrastructure', 'challenges']","['We have designed and built our own data centers and key portions of our technical infrastructure through which we serve our products, and we plan to continue to significantly expand the size of our infrastructure primarily through data centers, subsea and terrestrial fiber optic cable systems, and other projects. The infrastructure expansion we are undertaking is complex and involves projects in multiple locations around the world, including in emerging markets that expose us to increased risks relating to anti-corruption compliance and political challenges, among others. We have in the past suspended, and may in the future suspend, certain of these projects as a result of the COVID-19 pandemic or other factors. Additional unanticipated delays or disruptions in the completion of these projects, including due to any shortage of labor necessary in building portions of such projects, or availability of components, challenges in obtaining required government or regulatory approvals, or other geopolitical challenges or actions by governments, whether as a result of the pandemic, trade disputes, or otherwise, may lead to increased project costs, operational inefficiencies, interruptions in the delivery or degradation of the quality or reliability of our products, or impairment of assets on our balance sheet. In addition, there may be issues related to this infrastructure that are not identified during the testing phases of design and implementation, which may only become evident after we have started to fully utilize the underlying equipment, that could further degrade the user experience or increase our costs. Further, much of our technical infrastructure is located outside the United States, and action by a foreign government, or our response to such government action, has resulted in the past, and may result in the future, in the impairment of a portion of our technical infrastructure, which may interrupt the delivery or degrade the quality or reliability of our products and lead to a negative user experience or increase our costs. Any of these events could adversely affect our business, reputation, or financial results.', 'We have designed and built our own data centers and key portions of our technical infrastructure through which we serve our products, and we plan to continue to significantly expand the size of our infrastructure primarily through data centers, subsea and terrestrial fiber optic cable systems, and other projects. The infrastructure expansion we are undertaking is complex and involves projects in multiple locations around the world, including in emerging markets that expose us to increased risks relating to anti-corruption compliance and political challenges, among others. We have in the past suspended, and may in the future suspend, certain of these projects as a result of the COVID-19 pandemic. Additional unanticipated delays or disruptions in the completion of these projects, including due to any shortage of labor necessary in building portions of such projects, or availability of components, challenges in obtaining required government or regulatory approvals, or other geopolitical challenges or actions by governments, whether as a result of the pandemic, trade disputes, or otherwise, may lead to increased project costs, operational inefficiencies, interruptions in the delivery or degradation of the quality or reliability of our products, or impairment of assets on our balance sheet. In addition, there may be issues related to this infrastructure that are not identified during the testing phases of design and implementation, which may only become evident after we have started to fully utilize the underlying equipment, that could further degrade the user experience or increase our costs. Further, much of our technical infrastructure is located outside the United States, and it is possible that action by a foreign government, or our response to such government action, could result in the impairment of a portion of our technical infrastructure, which may interrupt the delivery or degrade the quality or reliability of our products and lead to a negative user experience or increase our costs. Any of these events could adversely affect our business, reputation, or financial results.', 'We have designed and built our own data centers and key portions of our technical infrastructure through which we serve our products, and we plan to continue to significantly expand the size of our infrastructure primarily through data centers, subsea and terrestrial fiber optic cable systems, and other projects. The infrastructure expansion we are undertaking is complex and involves projects in multiple locations around the world, including in emerging markets that expose us to increased risks relating to anti-corruption compliance and political challenges, among others. We have in the past suspended, and may in the future suspend, certain of these projects as a result of the COVID-19 pandemic. Additional unanticipated delays or disruptions in the completion of these projects, including due to any shortage of labor necessary in building portions of such projects, or availability of components, challenges in obtaining required government or regulatory approvals, or other geopolitical challenges or actions by governments, whether as a result of the pandemic, trade disputes, or otherwise, may lead to increased project costs, operational inefficiencies, interruptions in the delivery or degradation of the quality or reliability of our products, or impairment of assets on our balance sheet. In addition, there may be issues related to this infrastructure that are not identified during the testing phases of design and implementation, which may only become evident after we have started to fully utilize the underlying equipment, that could further degrade the user experience or increase our costs. Further, much of our technical infrastructure is located outside the United States, and it is possible that action by a foreign government, or our response to such government action, could result in the impairment of a portion of our technical infrastructure, which may interrupt the delivery or degrade the quality or reliability of our products and lead to a negative user experience or increase our costs. Any of these events could adversely affect our business, reputation, or financial results.']"
18,28,18_inquiries_european_data_united states,"['inquiries', 'european', 'data', 'united states', 'united', 'states', 'european union', 'union', 'sccs', 'subject']","[""From time to time, we receive formal and informal inquiries from government authorities and regulators regarding our compliance with laws and regulations, many of which are evolving and subject to interpretation. We are and expect to continue to be the subject of investigations, inquiries, data requests, requests for information, actions, and audits in the United States, Europe, and around the world, particularly in the areas of privacy, data protection, law enforcement, consumer protection, and competition, as we continue to grow and expand our operations. In addition, we are currently, and may in the future be, subject to regulatory orders or consent decrees. For example, data protection, competition, and consumer protection authorities in the European Union and other jurisdictions have initiated actions, investigations, or administrative orders seeking to restrict the ways in which we collect and use information, or impose sanctions, and other authorities may do the same. In addition, beginning in March 2018, we became subject to FTC, state attorneys general, and other government inquiries in the United States, Europe, and other jurisdictions in connection with our platform and user data practices as well as the misuse of certain data by a developer that shared such data with third parties in violation of our terms and policies. In July 2019, we entered into a settlement and modified consent order to resolve the FTC inquiry, which was approved by the federal court and took effect in April 2020. Among other matters, our settlement with the FTC required us to pay a penalty of $5.0\xa0billion and to significantly enhance our practices and processes for privacy compliance and oversight. Beginning in September 2018, we also became subject to IDPC and other government inquiries in connection with a third-party cyber-attack that exploited a vulnerability in Facebook's code to steal user access tokens and access certain profile information from user accounts on Facebook. From time to time we also notify the IDPC, our designated European privacy regulator under the GDPR, of certain other personal data breaches and privacy issues, and are subject to inquiries and investigations regarding various aspects of our regulatory compliance."", ""We are also subject to evolving laws and regulations that dictate whether, how, and under what circumstances we can transfer, process and/or receive certain data that is critical to our operations, including data shared between countries or regions in which we operate and data shared among our products and services. For example, in 2016, the European Union and United States agreed to a transfer framework for data transferred from the European Union to the United States, called the Privacy Shield, but the Privacy Shield was invalidated in July 2020 by the Court of Justice of the European Union (CJEU). In addition, the other bases upon which Meta relies to transfer such data, such as Standard Contractual Clauses (SCCs), have been subjected to regulatory and judicial scrutiny. For example, the CJEU considered the validity of SCCs as a basis to transfer user data from the European Union to the United States following a challenge brought by the Irish Data Protection Commission (IDPC). Although the CJEU upheld the validity of SCCs in July 2020, our continued reliance on SCCs will be the subject of future regulatory consideration. In particular, in August 2020, we received a preliminary draft decision from the IDPC that preliminarily concluded that Meta Platforms Ireland's reliance on SCCs in respect of European user data does not achieve compliance with the GDPR and preliminarily proposed that such transfers of user data from the European Union to the United States should therefore be suspended. Meta Platforms Ireland challenged procedural aspects of this IDPC inquiry in a judicial review commenced in the Irish High Court in September 2020. In May 2021, the court rejected Meta Platforms Ireland's procedural challenges and the inquiry subsequently recommenced. We believe a final decision in this inquiry may issue as early as the first half of 2022. If a new transatlantic data transfer framework is not adopted and we are unable to continue to rely on SCCs or rely upon other alternative means of data transfers from Europe to the United States, we will likely be unable to offer a number of our most significant products and services, including Facebook and Instagram, in Europe, which would materially and adversely affect our business, financial condition, and results of operations. In addition, we have been managing investigations and lawsuits in Europe, India, and other jurisdictions regarding the August 2016 update to WhatsApp's terms of service and privacy policy and its sharing of certain data with other Meta products and services, including a lawsuit currently pending before the Supreme Court of India, and also became subject to government inquiries and lawsuits regarding the 2021 update to WhatsApp's terms of service and privacy policy. If we are unable to transfer data between and among countries and regions in which we operate, or if we are restricted from sharing data among our products and services, it could affect our ability to provide our services, the manner in which we provide our services or our ability to target ads, which could adversely affect our financial results."", ""We receive formal and informal inquiries from government authorities and regulators regarding our compliance with laws and regulations, many of which are evolving and subject to interpretation. We are and expect to continue to be the subject of investigations, inquiries, data requests, requests for information, actions, and audits in the United States, Europe, and around the world, particularly in the areas of privacy, data protection, law enforcement, consumer protection, civil rights, content moderation, and competition, as we continue to grow and expand our operations. In addition, we are currently, and may in the future be, subject to regulatory orders or consent decrees. For example, data protection, competition, and consumer protection authorities in the European Union and other jurisdictions have initiated actions, investigations, or administrative orders seeking to restrict the ways in which we collect and use information, or impose sanctions, and other authorities may do the same. In addition, beginning in March 2018, we became subject to FTC, state attorneys general, and other government inquiries in the United States, Europe, and other jurisdictions in connection with our platform and user data practices as well as the misuse of certain data by a developer that shared such data with third parties in violation of our terms and policies. In July 2019, we entered into a settlement and modified consent order to resolve the FTC inquiry, which was approved by the federal court and took effect in April 2020. Among other matters, our settlement with the FTC required us to pay a penalty of $5.0\xa0billion and to significantly enhance our practices and processes for privacy compliance and oversight. The state attorneys general inquiry and certain government inquiries in other jurisdictions remain ongoing. Beginning in September 2018, we also became subject to IDPC and other government inquiries in connection with a third-party cyber-attack that exploited a vulnerability in Facebook's code to steal user access tokens and access certain profile information from user accounts on Facebook. We also notify the IDPC, our lead European Union privacy regulator under the GDPR, of certain other personal data breaches and privacy issues, and are subject to inquiries and investigations by the IDPC and other European regulators regarding various aspects of our regulatory compliance.""]"
